countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
MYS,johor,,,Johor,,,MYS.1_1
MYS,kedah,,,Kedah,,,MYS.2_1
MYS,kelantan,,,Kelantan,,,MYS.3_1
MYS,wp-kuala-lumpur,,,Kuala Lumpur,,,MYS.4_1
MYS,wp-labuan,,,Labuan,,,MYS.5_1
MYS,melaka,,,Melaka,,,MYS.6_1
MYS,negeri-sembilan,,,Negeri Sembilan,,,MYS.7_1
MYS,pahang,,,Pahang,,,MYS.8_1
MYS,perak,,,Perak,,,MYS.9_1
MYS,perlis,,,Perlis,,,MYS.10_1
MYS,pulau-pinang,,,Pulau Pinang,,,MYS.11_1
MYS,wp-putrajaya,,,Putrajaya,,,MYS.12_1
MYS,sabah,,,Sabah,,,MYS.13_1
MYS,sarawak,,,Sarawak,,,MYS.14_1
MYS,selangor,,,Selangor,,,MYS.15_1
MYS,terengganu,,,Trengganu,,,MYS.16_1
